,Number,Italian,Original,English_opus-mt-tc-big-it-en_df1,rating_score,rating_opus-mt_df1,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,English_opus-mt-tc-big-it-en,English_Google,rating_score_google,rating_opus-mt,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
43,54,I bambini sono stati felici di andare al parco giochi. Si sono divertiti ad andare sulle giostre e a mangiare zucchero filato.,1,The kids were happy to go to the playground. They had fun going on rides and eating cotton candy.,0.7906,0.7906,0.292,0.0,0.708,0.7906,0.292,0.0,0.708,0.7906,0.55,0.6,0.55,0.6, POSITIVE (0.9957), POSITIVE (0.9963),0.55,0.6,0.55,0.6,The kids were happy to go to the playground. They had fun going on rides and eating cotton candy.,The children were happy to go to the playground.They had fun going to the rides and eating cotton candy.,0.7906,0.7906,True,False,The kids were happy to go to the playground. They had fun going on rides and eating cotton candy.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 21 ref_len = 21),chrF2 = 100.00,BLEU = 73.44 86.4/76.2/70.0/63.2 (BP = 1.000 ratio = 1.048 hyp_len = 22 ref_len = 21),chrF2 = 85.47
44,64,Sono arrabbiato,-1,I'm angry,-0.5106,-0.5106,0.0,0.767,0.233,-0.5106,0.0,0.767,0.233,-0.5106,-0.5,1.0,-0.5,1.0, NEGATIVE (0.9991), NEGATIVE (0.9985),-0.5,1.0,-0.5,1.0,I'm angry,I am angry,-0.5106,-0.5106,True,True,I'm angry,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00,BLEU = 27.52 33.3/25.0/25.0/0.0 (BP = 1.000 ratio = 1.500 hyp_len = 3 ref_len = 2),chrF2 = 61.49
45,65,Che tristezza!,-1,How sad!,-0.5255,-0.5255,0.0,0.772,0.228,-0.5255,0.0,0.772,0.228,-0.5255,-0.625,1.0,-0.625,1.0, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.625,1.0,-0.625,1.0,How sad!,How sad!,-0.5255,-0.5255,True,True,How sad!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
46,67,Non mi piace quello che dici,-1,I don't like what you say.,-0.2755,-0.2755,0.0,0.345,0.655,-0.2755,0.0,0.345,0.655,-0.2755,0.0,0.0,0.0,0.0, NEGATIVE (0.9978), NEGATIVE (0.9978),0.0,0.0,0.0,0.0,I don't like what you say.,I don't like what you say,-0.2755,-0.2755,True,True,I don't like what you say.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 84.65 100.0/100.0/100.0/100.0 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),chrF2 = 95.59
47,68,Ho visto un film d'orrore ed ora ho paura,-1,I've seen a horror movie and now I'm scared,-0.5719,-0.765,0.0,0.524,0.476,-0.765,0.0,0.381,0.619,-0.5719,0.0,0.0,-0.6,0.9, NEGATIVE (0.6139), NEGATIVE (0.9993),0.0,0.0,-0.6,0.9,I've seen a horror movie and now I'm scared,I saw a horror movie and now I'm afraid,-0.5719,-0.765,False,True,I saw a horror movie and now I'm afraid,BLEU = 58.74 66.7/62.5/57.1/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 65.64,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 100.00
48,69,Sono molto triste,-1,I'm very sad,-0.5256,-0.5256,0.0,0.629,0.371,-0.5256,0.0,0.629,0.371,-0.5256,-0.65,1.0,-0.65,1.0, NEGATIVE (0.9989), NEGATIVE (0.9977),-0.65,1.0,-0.65,1.0,I'm very sad,I am very sad,-0.5256,-0.5256,False,True,I am very sad,BLEU = 39.43 66.7/50.0/50.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 73.48,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
49,70,Ho trascorso una giornataccia!,-1,I had a bad day!,0.0,-0.5848,0.0,0.655,0.345,-0.5848,0.0,0.0,1.0,0.0,-0.8749999999999998,0.6666666666666666,-0.125,0.1, NEGATIVE (0.9989), NEGATIVE (0.9993),-0.8749999999999998,0.6666666666666666,-0.125,0.1,I had a bad day!,I spent a day!,0.0,-0.5848,True,False,I had a bad day!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 20.80 80.0/25.0/16.7/12.5 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),chrF2 = 21.64
50,71,Il buio mi fa paura,-1,The dark scares me,-0.5267,-0.34,0.0,0.444,0.556,-0.34,0.0,0.688,0.312,-0.5267,-0.15,0.4,0.0,0.0, NEGATIVE (0.9831), NEGATIVE (0.9949),-0.15,0.4,0.0,0.0,The dark scares me,The darkness scares me,-0.5267,-0.34,True,False,The dark scares me,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 73.08
51,73,Che brutto!,-1,That's ugly!,-0.5848,-0.5562,0.0,0.782,0.218,-0.5562,0.0,0.791,0.209,-0.5848,-0.875,1.0,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9999), NEGATIVE (1.0),-0.875,1.0,-0.8749999999999998,0.6666666666666666,That's ugly!,How bad!,-0.5848,-0.5562,True,False,That's ugly!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 27.52 33.3/25.0/25.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 3.27
52,74,Mi hai delusa,-1,You let me down.,-0.4767,0.0,0.0,0.0,1.0,0.0,0.0,0.608,0.392,-0.4767,-0.1555555555555555,0.2888888888888889,-0.75,0.75, POSITIVE (0.6654), NEGATIVE (0.9942),-0.1555555555555555,0.2888888888888889,-0.75,0.75,You let me down.,You disappointed me,-0.4767,0.0,True,False,You let me down.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 17.80 66.7/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5),chrF2 = 18.70
53,75,Che delusione!,-1,What a disappointment!,-0.5562,-0.5562,0.0,0.782,0.218,-0.5562,0.0,0.782,0.218,-0.5562,-0.75,0.4,-0.75,0.4, NEGATIVE (1.0), NEGATIVE (1.0),-0.75,0.4,-0.75,0.4,What a disappointment!,What a disappointment!,-0.5562,-0.5562,True,True,What a disappointment!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
54,76,Ho visto un film orribbile,-1,I've seen a horrible movie.,-0.5423,-0.5423,0.0,0.538,0.462,-0.5423,0.0,0.636,0.364,-0.5423,-1.0,1.0,-1.0,1.0, NEGATIVE (1.0), NEGATIVE (1.0),-1.0,1.0,-1.0,1.0,I've seen a horrible movie.,I saw a horrible movie,-0.5423,-0.5423,False,True,I saw a horrible movie,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 71.13,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
55,77,Ho letto un libro orribile e noioso,-1,I read a horrible and boring book,-0.7003,-0.7003,0.0,0.659,0.341,-0.7003,0.0,0.659,0.341,-0.7003,-1.0,1.0,-1.0,1.0, NEGATIVE (0.9999), NEGATIVE (0.9999),-1.0,1.0,-1.0,1.0,I read a horrible and boring book,I read a horrible and boring book,-0.7003,-0.7003,True,True,I read a horrible and boring book,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00
56,78,Sei noioso!,-1,You're boring!,-0.3802,-0.3802,0.0,0.722,0.278,-0.3802,0.0,0.564,0.436,-0.3802,-1.0,1.0,-1.0,1.0, NEGATIVE (0.9999), NEGATIVE (0.9998),-1.0,1.0,-1.0,1.0,You're boring!,You are boring!,-0.3802,-0.3802,True,True,You're boring!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 31.95 50.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3),chrF2 = 68.99
57,79,Che cattivo!,-1,What a villain!,-0.623,-0.5983,0.0,0.796,0.204,-0.5983,0.0,0.803,0.197,-0.623,0.0,0.0,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9906), NEGATIVE (0.9999),0.0,0.0,-0.8749999999999998,0.6666666666666666,What a villain!,So bad!,-0.623,-0.5983,True,False,What a villain!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 2.87
58,80,Il cibo non era buono per niente,-1,The food was not good at all,-0.3412,-0.3412,0.0,0.286,0.714,-0.3412,0.0,0.286,0.714,-0.3412,-0.35,0.6000000000000001,-0.35,0.6000000000000001, NEGATIVE (0.9998), NEGATIVE (0.9998),-0.35,0.6000000000000001,-0.35,0.6000000000000001,The food was not good at all,The food was not good at all,-0.3412,-0.3412,True,True,The food was not good at all,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00
59,81,Che cosa disgustosa!,-1,That's disgusting!,-0.5707,-0.5707,0.0,0.787,0.213,-0.5707,0.0,0.787,0.213,-0.5707,-1.0,1.0,-1.0,1.0, NEGATIVE (1.0), NEGATIVE (1.0),-1.0,1.0,-1.0,1.0,That's disgusting!,What disgusting!,-0.5707,-0.5707,True,False,That's disgusting!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 65.98
60,82,Odio camminare da sola di sera,-1,I hate to walk alone at night,-0.6908,-0.6908,0.0,0.588,0.412,-0.6908,0.0,0.588,0.412,-0.6908,-0.8,0.9,-0.8,0.9, NEGATIVE (0.6118), NEGATIVE (0.9979),-0.8,0.9,-0.8,0.9,I hate to walk alone at night,I hate walking alone in the evening,-0.6908,-0.6908,False,True,I hate walking alone in the evening,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 28.78,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00
61,83,Ho visto un orso e mi sono spaventata a morte,-1,I saw a bear and I got scared to death,-0.7783,-0.7783,0.0,0.576,0.424,-0.7783,0.0,0.63,0.37,-0.7783,0.0,0.0,0.0,0.0, NEGATIVE (0.9988), NEGATIVE (1.0),0.0,0.0,0.0,0.0,I saw a bear and I got scared to death,I saw a bear and I frightened to death,-0.7783,-0.7783,True,False,I saw a bear and I got scared to death,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),chrF2 = 100.00,BLEU = 59.12 88.9/75.0/57.1/50.0 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10),chrF2 = 64.82
62,85,Mi sento male,-1,I feel sick,-0.5423,-0.5106,0.0,0.767,0.233,-0.5106,0.0,0.778,0.222,-0.5423,-0.7142857142857143,0.8571428571428571,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.7142857142857143,0.8571428571428571,-0.6999999999999998,0.6666666666666666,I feel sick,I feel bad,-0.5423,-0.5106,True,False,I feel sick,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 34.59
63,86,Mi sento solo,-1,I feel lonely,-0.25,-0.3612,0.0,0.714,0.286,-0.3612,0.0,0.667,0.333,-0.25,-0.0999999999999999,0.7,0.0,0.0, NEGATIVE (0.9874), NEGATIVE (0.6724),-0.0999999999999999,0.7,0.0,0.0,I feel lonely,I feel alone,-0.25,-0.3612,True,False,I feel lonely,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 44.13
64,87,Detesto il mio lavoro,-1,I hate my job.,-0.5719,-0.5719,0.0,0.649,0.351,-0.5719,0.0,0.649,0.351,-0.5719,-0.8,0.9,-0.8,0.9, NEGATIVE (0.9999), NEGATIVE (1.0),-0.8,0.9,-0.8,0.9,I hate my job.,I hate my work,-0.5719,-0.5719,True,False,I hate my job.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 46.31 75.0/66.7/50.0/50.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5),chrF2 = 52.41
65,88,Non ti sopporto proprio!,-1,I just can't stand you!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9996), NEGATIVE (0.9998),0.0,0.0,0.0,0.0,I just can't stand you!,I can't stand you!,0.0,0.0,False,True,I can't stand you!,BLEU = 53.73 83.3/60.0/50.0/33.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 87.31,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
66,89,Hai una brutta cera!,-1,You look bad!,-0.5848,-0.5848,0.0,0.655,0.345,-0.5848,0.0,0.558,0.442,-0.5848,-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9998), NEGATIVE (0.9999),-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666,You look bad!,You have a bad wax!,-0.5848,-0.5848,True,False,You look bad!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 10.68 50.0/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4),chrF2 = 19.46
67,90,Temo il tempo che passa,-1,I fear the passing of time,-0.4939,-0.4939,0.0,0.444,0.556,-0.4939,0.0,0.444,0.556,-0.4939,0.0,0.0,0.0,0.0, NEGATIVE (0.9971), NEGATIVE (0.9972),0.0,0.0,0.0,0.0,I fear the passing of time,I fear the time that passes,-0.4939,-0.4939,True,False,I fear the passing of time,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 32.47 66.7/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 45.36
68,91,Non ti amo,-1,I don't love you,-0.5216,-0.5216,0.0,0.627,0.373,-0.5216,0.0,0.529,0.471,-0.5216,0.5,0.6,-0.25,0.6, NEGATIVE (0.9924), NEGATIVE (0.9989),-0.25,0.6,-0.25,0.6,I don't love you,I do not love you,-0.5216,-0.5216,True,False,I don't love you,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4),chrF2 = 65.05
69,97,Detesto le bugie,-1,I hate lies,-0.7579,-0.7579,0.0,1.0,0.0,-0.7579,0.0,0.867,0.133,-0.7579,-0.8,0.9,-0.8,0.9, NEGATIVE (0.8527), NEGATIVE (0.9958),-0.8,0.9,-0.8,0.9,I hate lies,I hate the lies,-0.7579,-0.7579,True,False,I hate lies,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3),chrF2 = 60.38
70,99,Disapprovo la tua scelta!,-1,I disapprove of your choice!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9966), NEGATIVE (0.9966),0.0,0.0,0.0,0.0,I disapprove of your choice!,I disapprove of your choice!,0.0,0.0,True,True,I disapprove of your choice!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
71,100,Non ci sopportiamo a vicenda,-1,We can't stand each other,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.125,0.375,-0.125,0.375, NEGATIVE (0.9998), NEGATIVE (0.699),-0.125,0.375,-0.125,0.375,We can't stand each other,We don't endure each other,0.0,0.0,True,False,We can't stand each other,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 43.88
72,101,Disprezzo il tuo comportamento,-1,I despise your behavior,0.0,-0.34,0.0,0.545,0.455,-0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9998), NEGATIVE (0.9821),0.0,0.0,0.0,0.0,I despise your behavior,DISCOZZA YOUR COME,0.0,-0.34,True,False,I despise your behavior,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 0.87
73,102,Che brutto regalo!,-1,What a bad gift!,-0.2244,-0.2244,0.377,0.493,0.13,-0.2244,0.377,0.493,0.13,-0.2244,-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666,What a bad gift!,What a bad gift!,-0.2244,-0.2244,False,False,What an ugly gift!,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 38.05,BLEU = 23.64 60.0/25.0/16.7/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 38.05
74,103,Mi hai ferito profondamente,-1,You hurt me deeply,0.0,-0.5267,0.0,0.531,0.469,-0.5267,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4, NEGATIVE (0.9985), NEGATIVE (0.9983),0.0,0.4,0.0,0.4,You hurt me deeply,You wounded me deeply,0.0,-0.5267,True,False,You hurt me deeply,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 48.76
75,104,Sei proprio una brutta persona,-1,You're such a bad person.,-0.5849,-0.5423,0.0,0.538,0.462,-0.5423,0.0,0.487,0.513,-0.5849,-0.3499999999999999,0.5833333333333333,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.999), NEGATIVE (0.9998),-0.3499999999999999,0.5833333333333333,-0.6999999999999998,0.6666666666666666,You're such a bad person.,You are really a bad person,-0.5849,-0.5423,False,True,You are really a bad person,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 45.44,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
76,105,Sei un incapace!,-1,You're a fool!,-0.4389,-0.4926,0.0,0.761,0.239,-0.4926,0.0,0.491,0.509,-0.4389,0.0,0.0,0.0,0.0, NEGATIVE (0.9989), NEGATIVE (0.9556),0.0,0.0,0.0,0.0,You're a fool!,You are an incapable!,-0.4389,-0.4926,True,False,You're a fool!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4),chrF2 = 18.54
77,106,Sei un inetto!,-1,You're inept!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9999), NEGATIVE (0.9999),0.0,0.0,0.0,0.0,You're inept!,You are an inept!,0.0,0.0,False,True,You are an inept!,BLEU = 28.25 66.7/50.0/50.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5),chrF2 = 41.38,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
78,107,Buono a nulla!,-1,Good for nothing!,0.4926,0.4926,0.615,0.0,0.385,0.4926,0.615,0.0,0.385,0.4926,0.875,0.6000000000000001,0.875,0.6000000000000001, NEGATIVE (0.9984), NEGATIVE (0.9984),0.875,0.6000000000000001,0.875,0.6000000000000001,Good for nothing!,Good for nothing!,0.4926,0.4926,True,True,Good for nothing!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
79,108,Sei un egoista!,-1,You're selfish!,0.0,-0.5255,0.0,0.772,0.228,-0.5255,0.0,0.0,1.0,0.0,-0.625,1.0,0.0,0.0, NEGATIVE (0.9956), NEGATIVE (0.9788),-0.625,1.0,0.0,0.0,You're selfish!,You are an egoist!,0.0,-0.5255,True,False,You're selfish!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.667 hyp_len = 5 ref_len = 3),chrF2 = 16.98
80,109,Che rabbia!,-1,What a rage!,-0.6114,-0.5983,0.0,0.796,0.204,-0.5983,0.0,0.8,0.2,-0.6114,0.0,0.0,-0.875,0.2, POSITIVE (0.6224), NEGATIVE (0.9481),0.0,0.0,-0.875,0.2,What a rage!,That anger!,-0.6114,-0.5983,True,False,What a rage!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4),chrF2 = 27.29
81,111,Che persona scortese!,-1,What a rude person!,-0.5093,-0.5093,0.0,0.622,0.378,-0.5093,0.0,0.622,0.378,-0.5093,-0.375,0.6,-0.375,0.6, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.375,0.6,-0.375,0.6,What a rude person!,What a rude person!,-0.5093,-0.5093,True,True,What a rude person!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
82,113,Sei un essere abominevole.,-1,You are an abominable being.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9382), NEGATIVE (0.9382),0.0,0.0,0.0,0.0,You are an abominable being.,You are an abominable being.,0.0,0.0,True,True,You are an abominable being.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
83,116,In questo momento mi sento piuttosto calma non provo emozioni forti,0,Right now I feel rather calm I don't feel strong emotions,-0.0281,-0.1032,0.192,0.225,0.583,-0.1032,0.181,0.189,0.63,-0.0281,0.3396825396825396,0.673015873015873,0.3666666666666667,0.7416666666666667, NEGATIVE (0.9849), POSITIVE (0.9558),0.3396825396825396,0.673015873015873,0.3666666666666667,0.7416666666666667,Right now I feel rather calm I don't feel strong emotions,At this moment I feel quite calm I do not feel strong emotions,-0.0281,-0.1032,True,False,Right now I feel rather calm I don't feel strong emotions,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00,BLEU = 16.90 53.8/33.3/9.1/5.0 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11),chrF2 = 57.14
