,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G
83,83,Ho visto un orso e mi sono spaventata a morte,-1,I saw a bear and I got scared to death,I saw a bear and I frightened to death,-0.7783,-0.7783,0.0,0.576,0.424,-0.7783,0.0,0.63,0.37,-0.7783,0.0,0.0,0.0,0.0, NEGATIVE (0.9988), NEGATIVE (1.0),0.0,0.0,0.0,0.0
84,84,Che persona malvagia ,-1,What an evil person,What evil person,-0.6597,-0.6597,0.0,0.595,0.405,-0.6597,0.0,0.688,0.312,-0.6597,-1.0,1.0,-1.0,1.0, NEGATIVE (0.9912), NEGATIVE (0.998),-1.0,1.0,-1.0,1.0
85,85,Mi sento male,-1,I feel sick,I feel bad,-0.5423,-0.5106,0.0,0.767,0.233,-0.5106,0.0,0.778,0.222,-0.5423,-0.7142857142857143,0.8571428571428571,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.7142857142857143,0.8571428571428571,-0.6999999999999998,0.6666666666666666
86,86,Mi sento solo,-1,I feel lonely,I feel alone,-0.25,-0.3612,0.0,0.714,0.286,-0.3612,0.0,0.667,0.333,-0.25,-0.09999999999999998,0.7,0.0,0.0, NEGATIVE (0.9874), NEGATIVE (0.6724),-0.09999999999999998,0.7,0.0,0.0
87,87,Detesto il mio lavoro,-1,I hate my job.,I hate my work,-0.5719,-0.5719,0.0,0.649,0.351,-0.5719,0.0,0.649,0.351,-0.5719,-0.8,0.9,-0.8,0.9, NEGATIVE (0.9999), NEGATIVE (1.0),-0.8,0.9,-0.8,0.9
88,88,Non ti sopporto proprio!,-1,I just can't stand you!,I can't stand you!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9996), NEGATIVE (0.9998),0.0,0.0,0.0,0.0
89,89,Hai una brutta cera!,-1,You look bad!,You have a bad wax!,-0.5848,-0.5848,0.0,0.655,0.345,-0.5848,0.0,0.558,0.442,-0.5848,-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9998), NEGATIVE (0.9999),-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666
90,90,Temo il tempo che passa,-1,I fear the passing of time,I fear the time that passes,-0.4939,-0.4939,0.0,0.444,0.556,-0.4939,0.0,0.444,0.556,-0.4939,0.0,0.0,0.0,0.0, NEGATIVE (0.9971), NEGATIVE (0.9972),0.0,0.0,0.0,0.0
91,91,Non ti amo,-1,I don't love you,I do not love you,-0.5216,-0.5216,0.0,0.627,0.373,-0.5216,0.0,0.529,0.471,-0.5216,0.5,0.6,-0.25,0.6, NEGATIVE (0.9924), NEGATIVE (0.9989),-0.25,0.6,-0.25,0.6
92,92,ÃÂ stata una serata molto noiosa,-1,It's been a very boring night.,It was a very boring evening,-0.3804,-0.3804,0.0,0.393,0.607,-0.3804,0.0,0.393,0.607,-0.3804,-1.0,1.0,-1.0,1.0, NEGATIVE (1.0), NEGATIVE (0.9999),-1.0,1.0,-1.0,1.0
93,93,Non voglio vederti piÃÂ¹!,-1,I don't want to see you anymore!,I don't want to see you anymore!,-0.1316,-0.1316,0.0,0.232,0.768,-0.1316,0.0,0.232,0.768,-0.1316,0.0,0.0,0.0,0.0, NEGATIVE (0.7643), NEGATIVE (0.7643),0.0,0.0,0.0,0.0
94,94,ÃÂ sempre triste partire,-1,It's always sad to leave,It is always sad to leave,-0.5106,-0.5106,0.0,0.589,0.411,-0.5106,0.0,0.518,0.482,-0.5106,-0.5,1.0,-0.5,1.0, NEGATIVE (0.8631), NEGATIVE (0.8585),-0.5,1.0,-0.5,1.0
95,95,ÃÂ stata una lite violenta,-1,It was a violent fight.,It was a violent dispute,-0.765,-0.7579,0.0,0.765,0.235,-0.7579,0.0,0.767,0.233,-0.765,-0.8,1.0,-0.8,1.0, NEGATIVE (0.8507), NEGATIVE (0.9933),-0.8,1.0,-0.8,1.0
96,96,ÃÂ stata una brutta lite,-1,It was a bad fight.,It was a bad dispute,-0.7351,-0.7269,0.0,0.753,0.247,-0.7269,0.0,0.756,0.244,-0.7351,-0.6999999999999998,0.6666666666666666,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.9984), NEGATIVE (0.9993),-0.6999999999999998,0.6666666666666666,-0.6999999999999998,0.6666666666666666
97,97,Detesto le bugie,-1,I hate lies,I hate the lies,-0.7579,-0.7579,0.0,1.0,0.0,-0.7579,0.0,0.867,0.133,-0.7579,-0.8,0.9,-0.8,0.9, NEGATIVE (0.8527), NEGATIVE (0.9958),-0.8,0.9,-0.8,0.9
98,98,La violenza ÃÂ¨ un male sociale,-1,Violence is a social evil,Violence is a social evil,-0.8591,-0.8591,0.0,0.81,0.19,-0.8591,0.0,0.81,0.19,-0.8591,-0.48333333333333334,0.5333333333333333,-0.48333333333333334,0.5333333333333333, NEGATIVE (0.9988), NEGATIVE (0.9988),-0.48333333333333334,0.5333333333333333,-0.48333333333333334,0.5333333333333333
99,99,Disapprovo la tua scelta!,-1,I disapprove of your choice!,I disapprove of your choice!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9966), NEGATIVE (0.9966),0.0,0.0,0.0,0.0
100,100,Non ci sopportiamo a vicenda,-1,We can't stand each other,We don't endure each other,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.125,0.375,-0.125,0.375, NEGATIVE (0.9998), NEGATIVE (0.699),-0.125,0.375,-0.125,0.375
101,101,Disprezzo il tuo comportamento,-1,I despise your behavior,DISCOZZA YOUR COME,0.0,-0.34,0.0,0.545,0.455,-0.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9998), NEGATIVE (0.9821),0.0,0.0,0.0,0.0
102,102,Che brutto regalo!,-1,What a bad gift!,What a bad gift!,-0.2244,-0.2244,0.377,0.493,0.13,-0.2244,0.377,0.493,0.13,-0.2244,-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.8749999999999998,0.6666666666666666,-0.8749999999999998,0.6666666666666666
103,103,Mi hai ferito profondamente,-1,You hurt me deeply,You wounded me deeply,0.0,-0.5267,0.0,0.531,0.469,-0.5267,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4, NEGATIVE (0.9985), NEGATIVE (0.9983),0.0,0.4,0.0,0.4
104,104,Sei proprio una brutta persona,-1,You're such a bad person.,You are really a bad person,-0.5849,-0.5423,0.0,0.538,0.462,-0.5423,0.0,0.487,0.513,-0.5849,-0.3499999999999999,0.5833333333333333,-0.6999999999999998,0.6666666666666666, NEGATIVE (0.999), NEGATIVE (0.9998),-0.3499999999999999,0.5833333333333333,-0.6999999999999998,0.6666666666666666
105,105,Sei un incapace!,-1,You're a fool!,You are an incapable!,-0.4389,-0.4926,0.0,0.761,0.239,-0.4926,0.0,0.491,0.509,-0.4389,0.0,0.0,0.0,0.0, NEGATIVE (0.9989), NEGATIVE (0.9556),0.0,0.0,0.0,0.0
106,106,Sei un inetto!,-1,You're inept!,You are an inept!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9999), NEGATIVE (0.9999),0.0,0.0,0.0,0.0
107,107,Buono a nulla!,-1,Good for nothing!,Good for nothing!,0.4926,0.4926,0.615,0.0,0.385,0.4926,0.615,0.0,0.385,0.4926,0.875,0.6000000000000001,0.875,0.6000000000000001, NEGATIVE (0.9984), NEGATIVE (0.9984),0.875,0.6000000000000001,0.875,0.6000000000000001
108,108,Sei un egoista!,-1,You're selfish!,You are an egoist!,0.0,-0.5255,0.0,0.772,0.228,-0.5255,0.0,0.0,1.0,0.0,-0.625,1.0,0.0,0.0, NEGATIVE (0.9956), NEGATIVE (0.9788),-0.625,1.0,0.0,0.0
109,109,Che rabbia!,-1,What a rage!,That anger!,-0.6114,-0.5983,0.0,0.796,0.204,-0.5983,0.0,0.8,0.2,-0.6114,0.0,0.0,-0.875,0.2, POSITIVE (0.6224), NEGATIVE (0.9481),0.0,0.0,-0.875,0.2
110,110,Non volgiio piÃÂ¹ parlarti!,-1,I don't want to talk to you anymore!,I don't turn to talk to you anymore!,0.0,-0.1316,0.0,0.201,0.799,-0.1316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9887), NEGATIVE (0.9943),0.0,0.0,0.0,0.0
111,111,Che persona scortese!,-1,What a rude person!,What a rude person!,-0.5093,-0.5093,0.0,0.622,0.378,-0.5093,0.0,0.622,0.378,-0.5093,-0.375,0.6,-0.375,0.6, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.375,0.6,-0.375,0.6
112,112,ÃÂ un gesto ripugnevole!,-1,It's a repugnant gesture!,It is a repugly gesture!,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9974), NEGATIVE (0.9801),0.0,0.0,0.0,0.0
113,113,Sei un essere abominevole.,-1,You are an abominable being.,You are an abominable being.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9382), NEGATIVE (0.9382),0.0,0.0,0.0,0.0
114,114,Quel libro che ho letto mi ha lasciata indifferente nÃÂ© bello nÃÂ© brutto,0,That book I read left me indifferent neither beautiful nor ugly,That book I read left me indifferent or beautiful or ugly,-0.0516,-0.7356,0.0,0.507,0.493,-0.7356,0.244,0.319,0.438,-0.0516,0.05000000000000001,0.6666666666666666,0.05000000000000001,0.6666666666666666, NEGATIVE (0.9891), NEGATIVE (1.0),0.05000000000000001,0.6666666666666666,0.05000000000000001,0.6666666666666666
115,115,Il tuo comportamento non mi fa nÃÂ© caldo nÃÂ© freddo,0,Your behavior makes me neither hot nor cold,Your behavior is neither hot nor cold,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.175,0.925,-0.175,0.925, NEGATIVE (0.9979), NEGATIVE (0.9994),-0.175,0.925,-0.175,0.925
116,116,In questo momento mi sento piuttosto calma non provo emozioni forti,0,Right now I feel rather calm I don't feel strong emotions,At this moment I feel quite calm I do not feel strong emotions,-0.0281,-0.1032,0.192,0.225,0.583,-0.1032,0.181,0.189,0.63,-0.0281,0.33968253968253964,0.673015873015873,0.3666666666666667,0.7416666666666667, NEGATIVE (0.9849), POSITIVE (0.9558),0.33968253968253964,0.673015873015873,0.3666666666666667,0.7416666666666667
117,117,"A me interessa poco chi vince il campionato, le squadre per me sono tutte uguali",0,"I care little who wins the championship, the teams for me are all the same","I am not very interested in those who win the championship, the teams are all the same for me",0.6399,0.8598,0.464,0.0,0.536,0.8598,0.277,0.102,0.62,0.6399,0.0375,0.27499999999999997,0.23461538461538464,0.3032051282051282, POSITIVE (0.8892), NEGATIVE (1.0),0.0375,0.27499999999999997,0.23461538461538464,0.3032051282051282
118,118,"Mi piacciono tutti i tipi di cibo, non ho preferenza",0,"I like all kinds of food, I have no preference","I like all types of food, I have no preference",0.0772,0.0772,0.234,0.206,0.561,0.0772,0.234,0.206,0.561,0.0772,0.0,0.0,0.0,0.0, POSITIVE (0.7221), POSITIVE (0.6723),0.0,0.0,0.0,0.0
119,119,Mi ritengo una persona equa e senza pregiudizi,0,I consider myself a fair and unprejudiced person,I consider myself a fair person without prejudices,0.5621,0.3182,0.315,0.0,0.685,0.3182,0.537,0.0,0.463,0.5621,0.7,0.9,0.7,0.9, NEGATIVE (0.596), POSITIVE (0.9871),0.7,0.9,0.7,0.9
120,120,Non mi lascio mai influenzare da quello che pensano gli altri.,0,I never let myself be influenced by what other people think.,I never let myself be influenced by what others think.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.125,0.375,0.0,0.0, POSITIVE (0.976), POSITIVE (0.9705),-0.125,0.375,0.0,0.0
121,121,Il film ha presentato l'argomento in una maniera molto logica e neutrale,0,The film presented the subject in a very logical and neutral way,The film presented the topic in a very logical and neutral way,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07916666666666668,0.32916666666666666,0.325,0.325, POSITIVE (0.9974), POSITIVE (0.9987),0.07916666666666668,0.32916666666666666,0.325,0.325
122,122,In realtÃÂ  non ho un'opinione su quanto ÃÂ¨ accaduto,0,I don't really have an opinion on what happened.,In reality I don't have an opinion about what happened,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0, NEGATIVE (0.9999), NEGATIVE (0.9998),-0.1,0.2,0.0,0.0
123,123,"Alla fine dei conti puoi fare quello che desideri, a me non interessa molto.",0,"At the end of the day, you can do whatever you want, I don't really care.","At the end of the accounts you can do what you want, I don't care much.",-0.3244,-0.3705,0.076,0.166,0.758,-0.3705,0.077,0.155,0.768,-0.3244,0.2,0.2,0.2,0.2, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.1,0.2,0.2,0.2
124,124,"Possiamo andare in vacanza da qualsiesi parte, per me ÃÂ¨ lo stesso",0,"We can go on holiday anywhere, for me it's the same","We can go on vacation from any starts, for me it is the same",0.0,0.4019,0.213,0.0,0.787,0.4019,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.125, POSITIVE (0.9854), POSITIVE (0.9885),0.0,0.125,0.0,0.125
125,125,Non ho preferenze su cosa fare stasera,0,I have no preference on what to do tonight,I have no preferences on what to do tonight,-0.296,-0.296,0.0,0.239,0.761,-0.296,0.0,0.239,0.761,-0.296,0.0,0.0,0.0,0.0, NEGATIVE (0.9961), NEGATIVE (0.9994),0.0,0.0,0.0,0.0
126,126,"Non ho mai favorito nessuno studente, per me sono tutti uguali",0,"I've never favored any student, they're all the same to me","I have never favored any student, for me they are all the same",-0.3252,-0.3252,0.0,0.189,0.811,-0.3252,0.0,0.175,0.825,-0.3252,-0.2,0.5125,-0.2,0.5125, NEGATIVE (0.9475), NEGATIVE (0.7685),-0.2,0.5125,-0.2,0.5125
127,127,Alcune persone non mostrano alcuna emozione,0,Some people don't show any emotion,Some people do not show any emotion,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9929), NEGATIVE (0.9874),0.0,0.0,0.0,0.0
128,128,Ha un carattere molto controllato ed ÃÂ¨ capace di restare sempre imparziale,0,He has a very controlled character and is capable of always remaining impartial,Has a very controlled character and is able to always remain impartial,0.0,0.3818,0.191,0.0,0.809,0.3818,0.0,0.0,1.0,0.0,0.2,0.35,0.35,0.4625, POSITIVE (0.9992), POSITIVE (0.9994),0.2,0.35,0.35,0.4625
129,129,"Sembra essere un tipo molto disinvolto, non si lasciare influenzare da nulla",0,"He seems to be a very casual guy, he doesn't let anything influence him.","It seems to be a very casual guy, he does not let himself be influenced by anything",0.2716,0.2716,0.149,0.0,0.851,0.2716,0.122,0.0,0.878,0.2716,-0.6500000000000001,1.0,-0.6500000000000001,1.0, POSITIVE (0.7872), POSITIVE (0.6068),-0.6500000000000001,1.0,-0.6500000000000001,1.0
130,130,ÃÂ sempre cosÃÂ¬ rilassata su tutto,0,She's always so relaxed about everything,It is always so relaxed on everything,0.6269,0.6269,0.452,0.0,0.548,0.6269,0.407,0.0,0.593,0.6269,0.0,0.0,0.0,0.0, POSITIVE (0.9955), POSITIVE (0.9889),0.0,0.0,0.0,0.0
131,131,I due si lasciarano senza emozione,0,The two leave without emotion,The two leave without emotion,-0.0516,-0.0516,0.0,0.231,0.769,-0.0516,0.0,0.231,0.769,-0.0516,0.0,0.0,0.0,0.0, POSITIVE (0.6613), POSITIVE (0.6613),0.0,0.0,0.0,0.0
132,132,ÃÂ molto impegnato con i suoi esperimenti e spera di avere risulatati positivi il prima possibile,0,He is very busy with his experiments and hopes to have tested positive as soon as possible,He is very busy with his experiments and hopes to have been refurbished positive as soon as possible,0.7506,0.7506,0.299,0.0,0.701,0.7506,0.286,0.0,0.714,0.7506,0.1190909090909091,0.6451515151515151,0.1190909090909091,0.6451515151515151, NEGATIVE (0.5078), POSITIVE (0.8283),0.1190909090909091,0.6451515151515151,0.1190909090909091,0.6451515151515151
133,133,In questo caso entrambe le parti hanno deciso di venire ad un compromesso,0,In this case both sides decided to come to a compromise,In this case both sides have decided to come to a compromise,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.5808), POSITIVE (0.8226),0.0,0.0,0.0,0.0
134,134,Dopo aver visto il film abbiamo scoperto che la protagonista era un aliena,0,After watching the film we discovered that the protagonist was an alien,After seeing the film we discovered that the protagonist was an alien,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.25,0.75,-0.25,0.75, NEGATIVE (0.9661), NEGATIVE (0.9767),-0.25,0.75,-0.25,0.75
135,135,La musica american attrae sempre molti giovani italiani,0,American music always attracts many young Italians,American music always attracts many young Italians,0.4019,0.4019,0.31,0.0,0.69,0.4019,0.31,0.0,0.69,0.4019,0.19999999999999998,0.3,0.19999999999999998,0.3, POSITIVE (0.9987), POSITIVE (0.9987),0.19999999999999998,0.3,0.19999999999999998,0.3
136,136,Ieri sono andata a cena in un ristorante giapponese,0,Yesterday I went to dinner at a Japanese restaurant,Yesterday I went to dinner in a Japanese restaurant,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.58), POSITIVE (0.8285),0.0,0.0,0.0,0.0
137,137,Oggi sono andata dal dentista,0,Today I went to the dentist,Today I went to the dentist,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.8822), NEGATIVE (0.8822),0.0,0.0,0.0,0.0
138,138,I miei amici sono venuti a farmi visita,0,My friends came to visit me,My friends came to visit me,0.4767,0.4767,0.383,0.0,0.617,0.4767,0.383,0.0,0.617,0.4767,0.0,0.0,0.0,0.0, POSITIVE (0.9811), POSITIVE (0.9811),0.0,0.0,0.0,0.0
139,139,Ho mangiato una mela a colazione,0,I ate an apple for breakfast,I ate an apple for breakfast,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9546), POSITIVE (0.9546),0.0,0.0,0.0,0.0
140,140,Lo studente ha finalmente finito la sua tesi,0,The student has finally finished his thesis,The student finally finished his thesis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0, POSITIVE (0.9838), POSITIVE (0.8369),0.0,1.0,0.0,1.0
141,141,Domani partiamo per andare in Italia,0,Tomorrow we leave to go to Italy,Tomorrow we leave to go to Italy,-0.0516,-0.0516,0.0,0.167,0.833,-0.0516,0.0,0.167,0.833,-0.0516,0.0,0.0,0.0,0.0, NEGATIVE (0.5591), NEGATIVE (0.5591),0.0,0.0,0.0,0.0
142,142,Maria ÃÂ¨ mia cugina,0,Mary is my cousin,Maria is my cousin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9834), POSITIVE (0.9962),0.0,0.0,0.0,0.0
143,143,La settimana prossima non lavoro,0,I don't work next week,Next week I don't work,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9951), NEGATIVE (0.9997),0.0,0.0,0.0,0.0
144,144,Siamo ritornati ieri dall'Italia,0,We returned yesterday from Italy,We returned yesterday from Italy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9646), NEGATIVE (0.9646),0.0,0.0,0.0,0.0
145,145,Oggi ho conosciuto il fidanzato di mia sorella,0,Today I met my sister's boyfriend,Today I met my sister's boyfriend,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9875), POSITIVE (0.9875),0.0,0.0,0.0,0.0
146,146,Il dipartimento di italiano ha assunto un nuovo professore,0,The Department of Italian has hired a new professor,The Italian Department has taken on a new professor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06818181818181818,0.22727272727272727,0.06818181818181818,0.22727272727272727, POSITIVE (0.9783), POSITIVE (0.991),0.06818181818181818,0.22727272727272727,0.06818181818181818,0.22727272727272727
147,147,Ho comprato una nuova borsa,0,I bought a new bag,I bought a new bag,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.13636363636363635,0.45454545454545453,0.13636363636363635,0.45454545454545453, NEGATIVE (0.683), NEGATIVE (0.683),0.13636363636363635,0.45454545454545453,0.13636363636363635,0.45454545454545453
148,148,Ieri sera non ho cenato,0,I didn't have dinner last night.,I didn't have dinner last night,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667, NEGATIVE (0.7894), NEGATIVE (0.7398),0.0,0.06666666666666667,0.0,0.06666666666666667
149,149,Ci sono molti parchi nel mio vicinato,0,There are many parks in my neighborhood,There are many parks in my neighborhood,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5, POSITIVE (0.9989), POSITIVE (0.9989),0.5,0.5,0.5,0.5
150,150,Di solito ascolto musica italiana ,0,I usually listen to Italian music,I usually listen to Italian music,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.125,0.125,-0.125,0.125, POSITIVE (0.9723), POSITIVE (0.9723),-0.125,0.125,-0.125,0.125
151,151,I miei figli nuotanto e giocano a calcio,0,My children swim and play football,My children still and play football,0.34,0.34,0.324,0.0,0.676,0.34,0.324,0.0,0.676,0.34,0.0,0.0,0.0,0.0, POSITIVE (0.992), POSITIVE (0.979),0.0,0.0,0.0,0.0
152,152,Il mio amico ha scritto quattro libri su Dante,0,My friend wrote four books about Dante,My friend wrote four books on Dante,0.4939,0.4939,0.348,0.0,0.652,0.4939,0.348,0.0,0.652,0.4939,0.0,0.0,0.0,0.0, POSITIVE (0.9974), POSITIVE (0.9985),0.0,0.0,0.0,0.0
153,153,Abbiamo comprato una nuova macchina,0,We bought a new car,We bought a new car,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.13636363636363635,0.45454545454545453,0.13636363636363635,0.45454545454545453, POSITIVE (0.9949), POSITIVE (0.9949),0.13636363636363635,0.45454545454545453,0.13636363636363635,0.45454545454545453
154,154,Marco e Giulia arrivano domani,0,Marco and Giulia arrive tomorrow,Marco and Giulia arrive tomorrow,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9932), POSITIVE (0.9932),0.0,0.0,0.0,0.0
155,155,Filippo ha sette anni,0,Philip is seven years old,Filippo is seven years old,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,0.1,0.2, POSITIVE (0.6268), POSITIVE (0.6529),0.1,0.2,0.1,0.2
156,156,Il sei settembre inizia la scuola,0,"On September 6, school begins",Six September begins school,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9645), POSITIVE (0.9636),0.0,0.0,0.0,0.0
157,157,Giovanna ha scelto di giocare a calcio,0,Giovanna chose to play football,Giovanna chose to play football,0.34,0.34,0.375,0.0,0.625,0.34,0.375,0.0,0.625,0.34,0.0,0.0,0.0,0.0, POSITIVE (0.8796), POSITIVE (0.8796),0.0,0.0,0.0,0.0
158,158,Ieri siamo andati allo stadio a vedere una partita di calcio,0,Yesterday we went to the stadium to watch a football match,Yesterday we went to the stadium to see a football match,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9109), POSITIVE (0.8358),0.0,0.0,0.0,0.0
159,159,A dicembre vado in Italia,0,I'm going to Italy in December,In December I go to Italy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9077), POSITIVE (0.5516),0.0,0.0,0.0,0.0
160,160,In estate siamo stati al lago,0,In the summer we stayed at the lake,In the summer we stayed at the lake,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.5117), POSITIVE (0.5117),0.0,0.0,0.0,0.0
161,161,Ho cucinato pasta al sugo,0,I cooked pasta with gravy,I cooked pasta pasta,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.9996), POSITIVE (0.985),0.0,0.0,0.0,0.0
162,162,Abbiamo deciso di cambiare casa,0,We decided to change homes.,We decided to change the house,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.9076), NEGATIVE (0.9718),0.0,0.0,0.0,0.0
163,163,Giocare a calcio aiuta a stare in forma,0,Playing football helps you stay fit,Play football helps to stay fit,0.7579,0.7096,0.697,0.0,0.303,0.7096,0.714,0.0,0.286,0.7579,0.4,0.4,0.4,0.4, POSITIVE (0.9969), POSITIVE (0.9883),0.4,0.4,0.4,0.4
164,164,Il campionato di calcio ÃÂ¨ iniziato ad Agosto,0,The football championship started in August,The football championship started in August,0.4404,0.4404,0.367,0.0,0.633,0.4404,0.367,0.0,0.633,0.4404,0.0,0.0,0.0,0.0, POSITIVE (0.8702), POSITIVE (0.8702),0.0,0.0,0.0,0.0
165,165,In Italia lo sport piÃÂ¹ praticato ÃÂ¨ il calcio,0,In Italy the most practiced sport is football,In Italy the most practiced sport is football,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5, POSITIVE (0.9981), POSITIVE (0.9981),0.5,0.5,0.5,0.5
166,166,Domani cambio casa,0,I'm changing houses tomorrow.,Tomorrow I change home,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, POSITIVE (0.7875), POSITIVE (0.9162),0.0,0.0,0.0,0.0
167,167,I miei amici si sono trasferiti in una nuova casa,0,My friends moved into a new home,My friends moved to a new house,0.4767,0.4767,0.383,0.0,0.617,0.4767,0.383,0.0,0.617,0.4767,0.13636363636363635,0.45454545454545453,0.13636363636363635,0.45454545454545453, POSITIVE (0.9995), POSITIVE (0.9931),0.13636363636363635,0.45454545454545453,0.13636363636363635,0.45454545454545453
168,168,L'anno prossimo cambio auto,0,Next year car change,Next year car change,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, NEGATIVE (0.5304), NEGATIVE (0.5304),0.0,0.0,0.0,0.0
